key,year,theme,label_type,quantum_source,ml_role,evidence_level,trl,main_value,main_risk
SchuhmacherMLP2022,2022,VQE-labeled MLP/PES,"energy,force",IBM QPU + VQE,MLP/HDNNP potential,hardware proof-of-concept,3,"quantum labels train classical PES","noise threshold; small systems"
NakajiGQE2024,2024,GQE/GPT-QE,"circuit sequence energy",simulator + hardware demo,Transformer proposal model,proof-of-concept,3,"AI generates circuits scored by energy","small molecules; benchmark limited"
VanDamEndToEndChem2024,2024,Logical/shadow chemistry,"active-space energy,observables",Quantinuum logical qubits + classical shadows,AI/HPC estimator,hybrid workflow proof-of-concept,3,"HPC+AI+logical-qubit chemistry workflow","small active space; blog/PoC framing"
MLQEM2024NMI,2024,ML-QEM,"mitigated expectation value",IBM hardware up to 100 qubits,RF/MLP/GNN mitigator,peer-reviewed hardware scale,4,"reduce QEM runtime overhead","OOD circuits and device drift"
NoiseAgnosticQEM2025,2025,ML-QEM,"ideal/noise-mitigated observable",hardware + augmented data,neural mitigator,peer-reviewed,4,"reduce reliance on ideal target labels","skeleton transfer assumptions"
QEMBench2025,2025,ML-QEM benchmark,"ideal expectation value",benchmark datasets,QEMFormer/circuit encoder,ICML benchmark,4,"standardize ML-QEM evaluation","simulated benchmark may not cover all drift"
PredictiveSurrogates2026,2026,Processor surrogate,"mean observable value",superconducting QPU up to 42 qubits,classical predictive surrogate,peer-reviewed hardware scale,4-5,"orders-of-magnitude measurement reduction","cross-calibration and non-Pauli noise"
OnlineQuantumCircuitLearning2025,2025,Online surrogate,"cost/observable",iterative QPU measurements,online active learning,peer-reviewed,3-4,"no upfront training; adaptive QPU calls","uncertainty calibration"
BayesianPSRVQE2025,2025,VQE gradient learning,"energy gradient,uncertainty",VQE observations,GP gradient estimator,preprint,3,"reuse observations; adaptive shots","requires reliable kernel/GP assumptions"
Qracle2025,2025,VQE warm start,"optimal parameters,energy",simulated/quantum chemistry tasks,GNN initializer,preprint,3,"reduce VQE iterations","generalization across ansatz/families"
FlowVQE2025,2025,VQE warm start,"high-quality parameters,preference labels",VQE energy scoring,normalizing flow proposal,preprint,3,"one-shot candidate parameter generation","preference data quality"
PellowJarmanHIVQE2025,2025,HI-VQE,"energy,variance,CI configurations",QPU/classical handover,subspace recovery/selection,preprint,3,"strong-correlation active-space workflow","sampling coverage"
YooHIVQE2026,2026,HI-VQE strong correlation,"energy,PES,CI states",QPU/classical handover,subspace workflow,preprint,3,"N2 and Fe-S extension","benchmark maturity"
SQDPeriodicMaterials2025,2025,SQD materials,"band gap,ground-state energy",superconducting QPU 38-46 qubits,SQD classical postprocessing,peer-reviewed/npj,3-4,"experiment-aligned band gaps","subspace and Hamiltonian approximation"
FingerAlgorithmDiscovery2026,2026,AI algorithm discovery,"ansatz quality,energy",simulator + Quantinuum workflow,LLM/program search,preprint,3,"automated ansatz/gate reduction","industrial reproducibility"
ConditionalGQE2025,2025,Conditional GQE,"optimization objective",simulator/quantum-inspired,conditional generative model,peer-reviewed,3,"instance-conditioned circuit generation","small problem scale"
HamiltonianGNN2025,2025,Classical baseline,"Hamiltonian matrix elements",classical electronic structure,GNN,ICML,4,"strong classical upper baseline","not quantum-generated"
ResTdNN2025,2025,Classical baseline,"ab initio energy",classical electronic structure,transfer neural net,peer-reviewed,4,"cross-scale energy prediction baseline","not quantum-generated"
